"Primary Type","yearmo","count","year","month"
"ROBBERY",Feb 2011,757,2011,"Feb"
"ASSAULT",Mar 2011,1666,2011,"Mar"
"BURGLARY",Mar 2011,1836,2011,"Mar"
"CRIMINAL TRESPASS",Mar 2011,759,2011,"Mar"
"MOTOR VEHICLE THEFT",Mar 2011,1638,2011,"Mar"
"NARCOTICS",Mar 2011,3747,2011,"Mar"
"ROBBERY",Mar 2011,954,2011,"Mar"
"ASSAULT",Apr 2011,1793,2011,"Apr"
"BURGLARY",Apr 2011,2044,2011,"Apr"
"CRIMINAL TRESPASS",Apr 2011,714,2011,"Apr"
"MOTOR VEHICLE THEFT",Apr 2011,1701,2011,"Apr"
"NARCOTICS",Apr 2011,3191,2011,"Apr"
"ROBBERY",Apr 2011,1008,2011,"Apr"
"ASSAULT",May 2011,1951,2011,"May"
"BURGLARY",May 2011,2468,2011,"May"
"CRIMINAL TRESPASS",May 2011,781,2011,"May"
"MOTOR VEHICLE THEFT",May 2011,1807,2011,"May"
"NARCOTICS",May 2011,3042,2011,"May"
"ROBBERY",May 2011,1246,2011,"May"
"ASSAULT",Jun 2011,1966,2011,"Jun"
"BURGLARY",Jun 2011,2414,2011,"Jun"
"CRIMINAL TRESPASS",Jun 2011,778,2011,"Jun"
"MOTOR VEHICLE THEFT",Jun 2011,1807,2011,"Jun"
"NARCOTICS",Jun 2011,3173,2011,"Jun"
"ROBBERY",Jun 2011,1179,2011,"Jun"
"ASSAULT",Jul 2011,2028,2011,"Jul"
"BURGLARY",Jul 2011,2398,2011,"Jul"
"CRIMINAL TRESPASS",Jul 2011,770,2011,"Jul"
"MOTOR VEHICLE THEFT",Jul 2011,1761,2011,"Jul"
"NARCOTICS",Jul 2011,3335,2011,"Jul"
"ROBBERY",Jul 2011,1279,2011,"Jul"
"ASSAULT",Aug 2011,1957,2011,"Aug"
"BURGLARY",Aug 2011,2612,2011,"Aug"
"CRIMINAL TRESPASS",Aug 2011,793,2011,"Aug"
"MOTOR VEHICLE THEFT",Aug 2011,1575,2011,"Aug"
"NARCOTICS",Aug 2011,3526,2011,"Aug"
"ROBBERY",Aug 2011,1329,2011,"Aug"
"ASSAULT",Sep 2011,1800,2011,"Sep"
"BURGLARY",Sep 2011,2514,2011,"Sep"
"CRIMINAL TRESPASS",Sep 2011,742,2011,"Sep"
"MOTOR VEHICLE THEFT",Sep 2011,1436,2011,"Sep"
"NARCOTICS",Sep 2011,3275,2011,"Sep"
"ROBBERY",Sep 2011,1278,2011,"Sep"
"ASSAULT",Oct 2011,1708,2011,"Oct"
"BURGLARY",Oct 2011,2459,2011,"Oct"
"CRIMINAL TRESPASS",Oct 2011,746,2011,"Oct"
"MOTOR VEHICLE THEFT",Oct 2011,1487,2011,"Oct"
